date,market,item,grade,unit,price,kg_unit,price_per_kg,source
2026-01-03,가락시장,사과 미시마,상,10 키로상자,60961,10.0,6096,https://www.garakprice.com/pum_detail.php
2026-01-03,가락시장,사과 미시마,중,10 키로상자,38974,10.0,3897,https://www.garakprice.com/pum_detail.php
2026-01-03,가락시장,사과 미시마,특,10 키로상자,72953,10.0,7295,https://www.garakprice.com/pum_detail.php
2026-01-03,가락시장,사과 미시마,하,10 키로상자,22608,10.0,2261,https://www.garakprice.com/pum_detail.php
2026-01-05,가락시장,사과 미시마,상,10 키로상자,71107,10.0,7111,https://www.garakprice.com/pum_detail.php
2026-01-05,가락시장,사과 미시마,중,10 키로상자,47422,10.0,4742,https://www.garakprice.com/pum_detail.php
2026-01-05,가락시장,사과 미시마,특,10 키로상자,93284,10.0,9328,https://www.garakprice.com/pum_detail.php
2026-01-05,가락시장,사과 미시마,하,10 키로상자,26493,10.0,2649,https://www.garakprice.com/pum_detail.php
2026-01-06,가락시장,사과 미시마,상,10 키로상자,100909,10.0,10091,https://www.garakprice.com/pum_detail.php
2026-01-06,가락시장,사과 미시마,중,10 키로상자,68265,10.0,6826,https://www.garakprice.com/pum_detail.php
2026-01-06,가락시장,사과 미시마,특,10 키로상자,130614,10.0,13061,https://www.garakprice.com/pum_detail.php
2026-01-06,가락시장,사과 미시마,하,10 키로상자,41961,10.0,4196,https://www.garakprice.com/pum_detail.php
2026-01-07,가락시장,사과 미시마,상,10 키로상자,80447,10.0,8045,https://www.garakprice.com/pum_detail.php
2026-01-07,가락시장,사과 미시마,중,10 키로상자,53888,10.0,5389,https://www.garakprice.com/pum_detail.php
2026-01-07,가락시장,사과 미시마,특,10 키로상자,138045,10.0,13804,https://www.garakprice.com/pum_detail.php
2026-01-07,가락시장,사과 미시마,하,10 키로상자,34110,10.0,3411,https://www.garakprice.com/pum_detail.php
2026-01-08,가락시장,사과 미시마,상,10 키로상자,62563,10.0,6256,https://www.garakprice.com/pum_detail.php
2026-01-08,가락시장,사과 미시마,중,10 키로상자,35820,10.0,3582,https://www.garakprice.com/pum_detail.php
2026-01-08,가락시장,사과 미시마,특,10 키로상자,79720,10.0,7972,https://www.garakprice.com/pum_detail.php
2026-01-08,가락시장,사과 미시마,하,10 키로상자,21965,10.0,2196,https://www.garakprice.com/pum_detail.php
2026-01-09,가락시장,사과 미시마,상,10 키로상자,73478,10.0,7348,https://www.garakprice.com/pum_detail.php
2026-01-09,가락시장,사과 미시마,중,10 키로상자,51330,10.0,5133,https://www.garakprice.com/pum_detail.php
2026-01-09,가락시장,사과 미시마,특,10 키로상자,110206,10.0,11021,https://www.garakprice.com/pum_detail.php
2026-01-09,가락시장,사과 미시마,하,10 키로상자,33881,10.0,3388,https://www.garakprice.com/pum_detail.php
2026-01-10,가락시장,사과 미시마,상,10 키로상자,73478,10.0,7348,https://www.garakprice.com/pum_detail.php
2026-01-10,가락시장,사과 미시마,중,10 키로상자,51330,10.0,5133,https://www.garakprice.com/pum_detail.php
2026-01-10,가락시장,사과 미시마,특,10 키로상자,110206,10.0,11021,https://www.garakprice.com/pum_detail.php
2026-01-10,가락시장,사과 미시마,하,10 키로상자,33881,10.0,3388,https://www.garakprice.com/pum_detail.php
2026-01-12,가락시장,사과 미시마,상,10 키로상자,77286,10.0,7729,https://www.garakprice.com/pum_detail.php
2026-01-12,가락시장,사과 미시마,중,10 키로상자,51178,10.0,5118,https://www.garakprice.com/pum_detail.php
2026-01-12,가락시장,사과 미시마,특,10 키로상자,142658,10.0,14266,https://www.garakprice.com/pum_detail.php
2026-01-12,가락시장,사과 미시마,하,10 키로상자,28014,10.0,2801,https://www.garakprice.com/pum_detail.php
2026-01-13,가락시장,사과 미시마,상,10 키로상자,64833,10.0,6483,https://www.garakprice.com/pum_detail.php
2026-01-13,가락시장,사과 미시마,중,10 키로상자,47406,10.0,4741,https://www.garakprice.com/pum_detail.php
2026-01-13,가락시장,사과 미시마,특,10 키로상자,99697,10.0,9970,https://www.garakprice.com/pum_detail.php
2026-01-13,가락시장,사과 미시마,하,10 키로상자,34419,10.0,3442,https://www.garakprice.com/pum_detail.php
2026-01-14,가락시장,사과 미시마,상,10 키로상자,68326,10.0,6833,https://www.garakprice.com/pum_detail.php
2026-01-14,가락시장,사과 미시마,중,10 키로상자,49061,10.0,4906,https://www.garakprice.com/pum_detail.php
2026-01-14,가락시장,사과 미시마,특,10 키로상자,97272,10.0,9727,https://www.garakprice.com/pum_detail.php
2026-01-14,가락시장,사과 미시마,하,10 키로상자,33855,10.0,3386,https://www.garakprice.com/pum_detail.php
2026-01-15,가락시장,사과 미시마,상,10 키로상자,75986,10.0,7599,https://www.garakprice.com/pum_detail.php
2026-01-15,가락시장,사과 미시마,중,10 키로상자,50320,10.0,5032,https://www.garakprice.com/pum_detail.php
2026-01-15,가락시장,사과 미시마,특,10 키로상자,132740,10.0,13274,https://www.garakprice.com/pum_detail.php
2026-01-15,가락시장,사과 미시마,하,10 키로상자,28044,10.0,2804,https://www.garakprice.com/pum_detail.php
2026-01-16,가락시장,사과 미시마,상,10 키로상자,59028,10.0,5903,https://www.garakprice.com/pum_detail.php
2026-01-16,가락시장,사과 미시마,중,10 키로상자,40354,10.0,4035,https://www.garakprice.com/pum_detail.php
